CNTYVTD,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"0294165",33,21,0
"0294166",41,78,0
"0294167",6,7,0
"0294168",296,625,10
"0294169",109,90,1
"0294170",66,107,0
"0294171",338,350,7
"0294172",253,318,5
"0294173",400,458,14
"0294174",226,378,13
"0294175",0,0,0
"0294176",287,262,8
"0294177",1,18,0
"0294178",0,2,0
"0294179",743,803,16
"0294180",2,0,0
"0294181",0,0,0
"0294182",1,0,0
"0294183",10,48,0
"0294184",0,9,1
"0294185",2,0,0
"0294186",10,48,2
"0294187",0,0,0
"0294188",0,1,0
"0294189",95,271,2
"0294190",0,2,0
"0294191",0,0,0
"0294192",0,0,0
"0294193",5,13,1
"0294194",141,160,4
"0294195",0,0,0
"0294196",0,0,0
"0294198",200,534,7
"0294199",173,325,8
"0294200",354,875,9
"0294201",7,3,0
"0294202",0,0,0
"0294203",32,160,4
"0294204",0,3,0
"0294205",26,31,1
"0294206",81,127,0
"0294207",14,2,0
"0294208",0,0,0
"0294209",23,4,0
"0294210",2,4,0
"0294211",0,20,0
"0294212",2,1,0
"0310102",1039,341,20
"0310201",1087,390,17
"0310302",532,266,9
"0310303",289,82,2
"0310304",137,57,0
"0310401",1096,431,9
"0330004",83,4,0
"033001A",38,4,0
"033001B",51,5,1
"033002A",72,5,0
"033002B",25,3,0
"033003A",15,1,0
"033003B",36,0,0
"0350001",367,64,3
"0350002",362,102,4
"0350003",518,113,5
"0350004",272,37,1
"0350005",684,196,4
"0350006",581,142,6
"0350007",358,72,7
"0350008",1071,293,10
"0350009",453,112,3
"0350010",630,156,13
"0350011",422,87,7
"0370007",1240,668,13
"0370009",866,435,8
"0370010",922,224,9
"0370011",1229,189,10
"0370012",1115,184,13
"0370013",68,19,1
"0370014",1133,458,8
"0370015",279,32,2
"0370016",642,94,5
"0370017",752,128,8
"0370018",1028,220,4
"0370019",399,27,2
"037001A",52,376,4
"037001B",124,362,3
"0370020",217,117,1
"0370021",125,23,1
"0370022",165,32,0
"0370024",251,51,1
"0370025",571,114,7
"0370027",340,17,2
"0370028",412,26,2
"0370029",166,19,2
"037002A",120,348,2
"037002B",77,99,1
"037002C",65,385,2
"037002D",13,17,0
"0370030",568,166,3
"037003A",484,280,3
"037003B",142,214,6
"037004A",167,225,2
"037004B",552,295,6
"037004C",105,143,1
"037004D",6,8,0
"037004E",0,0,0
"037005A",44,57,1
"037005B",0,0,0
"037005C",1945,566,19
"037006A",889,318,5
"037006B",971,293,11
"037008A",135,229,4
"037008B",1202,371,8
"037008C",550,131,2
"0390001",1301,614,17
"0390002",1546,525,17
"0390003",1764,612,34
"0390004",1307,395,10
"0390005",768,254,5
"0390006",642,102,5
"0390007",294,565,4
"0390008",454,112,3
"0390009",268,170,3
"0390010",446,68,3
"0390011",1012,659,9
"0390012",1120,740,20
"0390013",1425,1063,13
"0390014",2020,659,25
"0390015",1215,166,10
"0390016",1498,650,20
"0390017",461,572,11
"0390019",363,426,9
"0390020",648,171,5
"0390021",1052,1302,14
"0390022",1793,546,27
"0390023",1490,621,25
"0390024",1746,635,16
"0390025",772,254,8
"0390026",1033,916,10
"0390027",792,699,10
"0390028",2001,1404,34
"0390029",716,1314,12
"0390030",1460,360,14
"0390031",526,101,3
"0390032",1125,281,5
"0390033",755,329,4
"0390034",1642,580,11
"0390035",783,157,2
"0390036",1558,1038,21
"0390038",323,113,6
"0390039",1259,634,22
"0390040",1961,1123,16
"0390042",217,112,2
"0390043",1535,678,20
"0390044",1352,2029,17
"0390045",1371,550,24
"0390046",894,438,15
"0390047",843,591,11
"0390048",828,497,11
"0390049",778,132,1
"0390050",1168,3028,28
"0390051",1575,567,18
"0390052",1170,573,16
"0390053",277,879,8
"0390054",640,1105,13
"0390055",1158,497,8
"0390056",1643,754,19
"0390057",1337,363,11
"0390058",478,677,3
"0390059",876,2353,21
"0390060",1454,1689,21
"0390061",2284,1025,23
"0390062",847,1320,16
"0390063",468,1662,16
"0390064",15,5,0
"0390067",535,1460,13
"0390068",611,1314,14
"0410001",977,250,13
"0410002",2395,903,37
"0410003",326,184,6
"0410004",62,526,1
"0410005",847,214,8
"0410006",491,91,6
"0410007",868,177,5
"0410008",344,516,11
"0410009",379,420,4
"0410010",1233,863,30
"0410011",592,836,22
"0410012",1486,1038,38
"0410013",809,542,14
"0410014",254,685,8
"0410015",1221,641,13
"0410016",102,333,2
"0410017",611,836,17
"0410018",26,194,2
"0410019",52,66,1
"0410020",765,1347,20
"0410021",268,571,6
"0410022",60,101,0
"0410023",49,8,1
"0410024",637,687,13
"0410025",45,345,5
"0410026",1243,592,14
"0410027",1661,401,10
"0410028",208,31,1
"0410029",333,191,5
"0410030",458,580,5
"0410031",1178,1212,33
"0410032",0,0,0
"0410033",215,482,8
"0410034",834,1337,34
"0410035",1267,2357,30
"0410036",943,943,32
"0410037",95,14,1
"0410038",9,100,0
"0410039",1485,1210,25
"0410040",1917,1202,34
"0410041",2193,956,25
"0410042",0,0,0
"0410043",3,13,0
"0410044",57,10,0
"0410045",47,16,0
"0410046",96,72,4
"0410047",103,85,4
"0410048",100,30,1
"0410049",39,148,0
"0410052",9,2,1
"0410053",0,1,0
"0410056",6,2,0
"0410057",28,73,0
"0410058",223,160,2
"0410059",12,3,0
"0410060",62,8,0
"0410061",30,9,0
"0410062",1,0,0
"0410063",2109,954,33
"0410064",0,0,0
"0410065",70,17,0
"0410067",92,46,2
"0410068",0,0,0
"0410069A",1740,979,15
"0410069B",6,3,0
"0410070",235,224,4
"0410071",65,18,0
"0410072",7,6,0
"0410074",67,149,0
"0410077",110,80,4
"0410078",112,18,2
"0410079",21,20,1
"0410080A",1396,676,24
"0410080B",4,2,0
"0410081",24,15,1
"0410082",159,55,2
"0410083",0,0,0
"0430001",685,480,25
"0430002",308,412,12
"0430003",116,131,6
"0430004",430,463,7
"0430005",25,52,1
"0430006",171,216,1
"0430007",12,55,1
"0430008",132,338,7
"0450001",75,8,0
"0450002",142,18,0
"0450003",136,12,1
"0450004",174,23,1
"0450006",26,8,0
"0470001",48,130,0
"0470002",66,216,1
"0470003",117,264,0
"0470004",39,64,0
"0470005",24,20,0
"0470006",70,290,3
"0470007",31,42,0
"0470008",84,205,0
"0470009",64,145,0
"0490101",1176,212,3
"0490105",829,130,9
"0490109",157,15,1
"0490113",890,143,6
"0490202",427,116,4
"0490204",307,143,3
"0490212",439,47,3
"0490214",347,52,3
"0490215",153,8,1
